_input,_num,_widgetName,_source,_resultNumber,_pageUrl,review,reviewer,reviewerlocation,roomtip,numberofreviews,staydate
,1,RenaissanceSouthPark,RenaissanceSouthPark,1,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r372473628-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Love this hotel from the cute check in girls to the free elevator drink to the quality of furnishings and bedding. The gym is good. The only shortfall is the concierge lounge is a bit light. All in all if you can afford it this is a great hotel. I'll be staying again.,TravelManSouth,Nashville Tennessee,,462 reviews,Stayed May 2016 travelled on business
,2,RenaissanceSouthPark,RenaissanceSouthPark,2,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r372473628-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,The hotel was very cool not cookie cutter Marriott. Beautiful fountain in the lounge area string lights made you want to have a drink and relax. Staff (I wish I remembered names) were extremely friendly and so helpful. My husband travels stays with Marriott always this was my favorite out of all so far! It's convenient to many restaurants and a few malls just walking distance.,Jodmaine,Portland,,7 reviews,Stayed May 2016 travelled with family
,3,RenaissanceSouthPark,RenaissanceSouthPark,3,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r372473628-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,The hotel is lovely with a very well trained and friendly staff. However the bed linens are not up to the quality of the Marriott brand. Whomever is making the bed needs some training. Impossible to sleep on a balled up mattress pad and sheet that are not tucked in.,P. K,Sarasota Florida,,6 reviews,Stayed April 2016 travelled as a couple
,4,RenaissanceSouthPark,RenaissanceSouthPark,4,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r372473628-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Stayed for a night on the way back home from the beach. We have a 6 month old and a three year old. We had a room with two beds. With the pack and play it was a little tight. The room is a bit small. Next time we will likely book a suite. The hotel is very trendily decorated but had everything we needed. The service was great the room was very clean the location is safe and within walking distance to the mall and restaurants. In fact we walked to the mall and restaurants for a night out with the kids. It's a great area and a great mall. We had an especially memorable moment with one of the doormen. He was helping us load our bags in the car. The three year old was climbing into the car. I was distracted for a second loading in a bag and the doorman ran up to her door to make sure she got in the car ok. Very thoughtful. Although the trendy look of the lobby feels more like a nightclub than a family friendly hotel the cleanliness friendly staff and location will make this a regular hotel that we will return to when staying in Charlotte.,adempsey21,Nashville Tennessee,,18 reviews,Stayed April 2016 travelled with family
,5,RenaissanceSouthPark,RenaissanceSouthPark,5,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r372473628-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,So I was on a business trip for my company. Everything was paid by them. On arrival I was asked to produce a credit card for incidentals. They were going to hold $50 a night(3). I don't have a credit card. They were not going to let me have a room!!! After the front desk and I had a few words a call was made... I was made to feel inferior in front of strangers... My company paid over 200 per night plus paid for 3 meals per day for over 20 people. I will never stay there again or recommend to anyone. The only saving grace for them are Regina who took care of us every morning and lunch.... She is golden!!!! Also Cat in the bar!!! 2 great employees!!! Excellent customer service!!!,Kathie R,Chapin South Carolina,,13 reviews,Stayed April 2016 travelled on business
,6,RenaissanceSouthPark,RenaissanceSouthPark,6,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365715976-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,I stayed at the Renaissance in March with my company in which we had a global meeting in the hotel facilities. The hotel was extremely accommodating and many shared amenities in the lobby bar and restaurant were updated and very appealing. The meeting rooms them self could have used some updating and much more ergonomic chairs after being there for a week. The rooms were a little dated but again the hotel was excellent as well as the staff. Definitely recommend this hotel for business.,Bill F,,,41 reviews,Stayed March 2016 travelled on business
,7,RenaissanceSouthPark,RenaissanceSouthPark,7,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365715976-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Great hotel to stay on your next visit to Charlotte. Location is convenient to downtown location has great shopping within a block away. Many restaurants within walking distance of the Hotel. Hotel is very modern great fitness facility very clean and friendly staff. Bar and lounge makes it very convenient for food and late night drink. Also offered a glass of bubbly the day we checked in. Grounds are very nice with outdoor seating. You will love your stay and the rates are very reasonable. 110% satisfied..,Ron K,Cincinnati Ohio,,7 reviews,Stayed April 2016 travelled as a couple
,8,RenaissanceSouthPark,RenaissanceSouthPark,8,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365715976-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Always stayed at this property on annual trip from Ohio to Hilton Head to break up the trip. This trip was an east coast college tour trip with our daughter. Being familiar with the property though we haven't stayed here in years decided to stay again. First who offers rooms with two beds but they are doubles??? instead of queens in this day and age? Yikes I am sure Marriott has upgraded their mattresses why not bump up the size of the beds. I didn't even think to ask as I have not encountered any other Marriott property in years that still has doubles at any level. Also the decor is hip but I know for a fact the last time it was updated and carpet redone was at least 8 years ago because that is when we were last at HHI and I actually have photos on my computer of my 8 year old daughter in the rooms on that trip. And she is 16 now. We had been on the road all day and were not about to pay for two rooms to have reasonably sized beds. And we are average to skinny people. Just get with it Marriott and put two queens in the rooms - there is room for it. Indoor pool is nice and lobby is nice with lots of smaller sitting areas next to bar and restaurant. Saw no one eating in restaurant. Breakfast is very expensive there and there are lots of options in the area. You are directly across from the Southpark Mall which has everything you can think of - upscale stores and mid range and a huge food court. Plus lots of other cool areas in this part of Charlotte with lots of newer restaurants and shops within 5 min drive of hotel. Other than that hotel is in business building type of area with a surface parking lot or parking garage attached if they are very busy with weddings etc as can happen on weekends. Bathroom was average - no ventilation in there nothing special. To aid in the efficiency of us getting up and on the road for our next tour the next day I went down to the gym locker room to get ready and do makeup. Yikes -very severe lighting in there and not suitable for much of anything. We ate in Davidson at North Harbor Cafe which was beautiful on Lake Norman and so nice to eat outside on their big deck overlooking the harbor. But they are very expensive and the portions are tiny. tiny. Place used to be very nice casual with great food and portions but seems they are charging for their location. They even charge you for bread and bring out two pieces. I have heard Kindred is great in that area and Toast. Will have to try next time. Charlotte is loaded with cool new places to eat very close to the Renaissance so give those a try. Club lounge level of hotel was in a conference room on first floor because they were cleaning several floors carpeting and had the true club levels closed down for that reason.,bonevoyage,Avon Lake,,38 reviews,Stayed April 2016 travelled with family
,9,RenaissanceSouthPark,RenaissanceSouthPark,9,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365715976-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Great Hotel Very helpful staff welcome drinks -always a plus :-) Food is good  seasonal menu wich is nice unless you want something wonderfull that was last season... Bar staff is actually the only "iffy" part of this place sometime a great drink and other time ...ehh. sometime you cant get something because they don't have the garnish  or simple syrup. wish this part was more consistant otherwise really nice hotel,llamamomma2016,South Carolina,,12 reviews,Stayed February 2016 travelled as a couple
,10,RenaissanceSouthPark,RenaissanceSouthPark,10,https://www.tripadvisor.in/ShowUserReviews-g49022-d655612-r365715976-Renaissance_Charlotte_SouthPark_Hotel-Charlotte_North_Carolina.html#REVIEWS,Beautiful hotel. Champagne & cake pops on arrival. Very friendly and helpful staff especially on reception. Beautiful king room. Spacious. Lovely bar. Breakfast & wifi over priced but hope to return some day. South Park really lovely area and hotel directly across from the mall. Perfect!,Happy H,Dublin Ireland,,25 reviews,Stayed April 2016 travelled as a couple
